date,clock,stadium,class,attendance,links,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
28th May 2023,4:30pm,Emirates Stadium,h,"60,095",https://www.skysports.com/football/arsenal-vs-wolverhampton-wanderers/465005,2.4726267940445887,0.08028614806352855,-2.696501787546032,-2.81012860335671,-1.4172471823440307,0.5412823918558376,-0.4602259288836342,-0.594290893430154,0.3647684378098489,0.9777097434442802,-0.9423795282009612,0.3332614389843777,0.9731386196588014,-1.1229442491613997,-1.637949004196875,-0.46387246120977355,-0.05821998758596565,-0.4862877077752038,0.24544834726479497,0.5306080343358204,-0.12699836448662288,-0.8657198842756644,0.3399718560296488,0.5585204987818763
28th May 2023,4:30pm,Villa Park,h,"42,212",https://www.skysports.com/football/aston-villa-vs-brighton-and-hove-albion/465006,-0.2886809135774683,-0.6482500817339402,-0.4347323392761886,0.33284950771177624,1.9020490959743495,3.8865940207904406,-0.8241396769354494,0.7647324008606182,-2.3629979583004017,0.07004373503788348,-0.16344066062365556,-0.41973512377715877,-2.454396318036704,1.3589557833923769,-0.9861182008791763,-1.565504871925864,-0.7988904937389123,0.770297283404205,-1.301350407289376,-0.8216133594599038,0.41903178443282757,-0.05766521406085972,-0.23644783993302573,1.2295733735611758
28th May 2023,4:30pm,Gtech Community Stadium,h,"17,120",https://www.skysports.com/football/brentford-vs-manchester-city/465007,-2.485653541394802,2.865553446005666e-05,-1.6726851387237471,-0.5717824917429113,0.1862165117295005,-1.0149470594107948,-2.898162954421424,0.330753947492718,-1.6575572242173637,-0.20223372034908166,-0.8104881761004563,-0.4528111926749006,0.7236337440320336,-0.15226518767026942,-0.7584840561628536,-0.1521663931940067,-0.49953449492829827,-0.31369273446380724,-0.6248496872524969,1.1378134222406606,0.6184616222826872,-1.1279929607948034,0.1203845025956103,-0.22796219862720643
28th May 2023,4:30pm,Stamford Bridge,d,"40,130",https://www.skysports.com/football/chelsea-vs-newcastle-united/465008,2.131207172216789,1.7322684362044578,1.3981315796950238,-0.1058870466572886,-1.11837611347401,-1.4143528861167194,-1.248253625831242,-0.35038961746009745,-1.1193204717139016,-0.17399615809566488,-0.314795664617826,-0.3494570792627977,-1.4212328014877778,-0.5438768921744043,0.4179598805788649,0.01130665705701266,-0.06396100008117192,0.41026631059929936,0.4002562952690013,1.513267354583651,-0.6204002129571221,0.4239530712538982,0.4316451186700008,0.24274929004866314
28th May 2023,4:30pm,Selhurst Park,d,"25,198",https://www.skysports.com/football/crystal-palace-vs-nottingham-forest/465009,2.1672744242433852,-0.8862220297060578,0.39010854022548674,1.2969215503035816,-1.1764466474971145,-0.20597363317657089,1.7795689321965087,-0.7470092455048055,-0.5303568645114886,-0.40760702278025385,-0.03579883465485888,-0.38253733207078694,-1.4978720931752547,-0.1256387444094966,0.17322977273019338,0.6471336909508723,-0.0457178378274364,0.1410359079481982,-0.17811416373932187,0.40572174194257554,0.16405932628613917,0.718792787137803,0.03693025001460711,-0.5155160933114359
28th May 2023,4:30pm,Goodison Park,h,"39,201",https://www.skysports.com/football/everton-vs-bournemouth/465010,0.4419058493789912,-1.1515015552693695,-1.76739011923964,-0.058221406026038,0.8354766624561303,-0.6865632848739952,-0.078201545832445,0.8082808099919128,1.3156771060814716,0.2562573220468607,0.31491778390330144,0.4243070049937804,-2.017272714953583,-1.0178489286508172,0.5054643620341129,-0.15496177756045576,0.7488424386049903,0.37995275897327485,0.0526395020406784,-1.1567338288872222,-0.040492940753686806,-0.6193202641892586,0.40284476034904737,0.4113644296631789
28th May 2023,4:30pm,Elland Road,a,"36,871",https://www.skysports.com/football/leeds-united-vs-tottenham-hotspur/465011,0.32835065961637244,1.0210958044859004,3.1357155353588784,1.4029588754175197,-1.826841882342211,-1.2121083438362414,-1.3505531575189706,1.4587093511155682,0.7652723766842371,-0.09131775731367957,0.17278441864727517,0.2036376437497676,-1.0618447320858444,1.0564238529648764,-0.6584660036507682,-1.242797630816197,-1.1749401590945499,-1.4723096611532709,-0.0583560692357762,-0.3072688381724755,-1.0053415424324654,-0.8449399016791335,-0.7866949610759977,-0.07763870020981203
28th May 2023,4:30pm,The King Power Stadium,h,"32,183",https://www.skysports.com/football/leicester-city-vs-west-ham-united/465012,-0.6808659242721617,1.2971422992478139,-1.9460712511275875,1.0488332227619865,-1.2765307886285284,-0.5215405692237187,0.33221160783327086,-0.7545509000443626,-0.6183112506281526,0.7062537548205186,0.22800428613909504,0.24995788707637856,0.5930587075844667,0.32537939238420777,0.09535460850099456,-0.8994897673959251,0.0013339720096537968,1.3920686096443389,-0.19171870841727817,0.3477543632293033,-0.5361690007437051,0.3207355383458912,0.7613407009376891,-0.9556670581027933
28th May 2023,4:30pm,Old Trafford,h,"32,183",https://www.skysports.com/football/manchester-united-vs-fulham/465013,2.120480645172381,1.3384928392234385,-0.13919237634837733,-1.4116802046815362,0.8689279353549768,0.6375683942382007,-1.3939694695543785,0.357046719068975,0.8471290053099471,0.8001359750126011,0.47701769392362264,-0.36119243778825744,1.0624308022534623,-0.5396354478259147,-1.0411494666608763,-0.01963290891901944,-0.23700017161173328,1.2279114984186492,0.5012217136701304,0.28693344757379485,0.15918863195853025,1.011026803335177,0.37420217890646357,0.6063674631259748
28th May 2023,4:30pm,St. Mary's Stadium,d,"31,129",https://www.skysports.com/football/southampton-vs-liverpool/465014,-4.655007374577607,5.850382298356069,0.08911771272250432,-1.0630352508674439,0.7644016266188925,-0.26099461768824617,0.25596867246822663,-0.7373227397656513,1.6200304927422573,1.6870612433616432,-0.945883118672317,0.6951328142173133,1.645358266041339,-1.8768384519771517,1.7847411941525726,-2.3206640070050395,0.6906109889115731,1.0727939139463796,-0.4755992418983967,0.4196000039377938,0.2953767387192891,-0.028630599243990546,0.3987518947037451,-0.9908629508792335
