date,clock,stadium,class,attendance,Home Team,Goals Home,Away Team,Away Goals,home_possessions,away_possessions,home_shots,away_shots,home_on,away_on,home_off,away_off,home_blocked,away_blocked,home_pass,away_pass,home_chances,away_chances,home_corners,away_corners,home_offside,away_offside,home_tackles,away_tackles,home_duels,away_duels,home_saves,away_saves,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,links
12th November 2022,7:45pm,Molineux,a,"34,624",13,0,2,2,37.4,62.6,11,14,2,4,6,7,3,3,79.6,89.3,0,1,6,4,3,1,52.9,50,69,31,1,2,5,6,3,2,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-arsenal/464794
6th November 2022,12:00p,Stamford Bridge,a,"40,142",12,0,2,1,44.3,55.7,5,14,1,2,1,9,3,3,73.1,82.1,0,2,4,6,3,0,54.2,58.8,56.7,43.3,1,1,19,13,5,2,0,0,https://www.skysports.com/football/chelsea-vs-arsenal/464776
6th November 2022,2:00pm,Villa Park,h,"42,058",7,3,3,1,41.8,58.2,6,8,4,3,2,2,0,3,83.5,85.3,1,0,3,5,0,3,31.3,66.7,50,50,3,1,6,12,3,3,0,0,https://www.skysports.com/football/aston-villa-vs-manchester-united/464775
6th November 2022,2:00pm,St. Mary's Stadium,a,"30,402",20,1,4,4,55.2,44.8,16,7,5,4,6,2,5,1,78.2,67.6,2,2,8,2,4,1,71.4,60,47.1,52.9,0,4,7,10,1,0,0,0,https://www.skysports.com/football/southampton-vs-newcastle-united/464781
6th November 2022,2:00pm,London Stadium,a,"62,451",14,1,11,2,42,58,5,15,2,6,3,2,0,7,80.4,87.1,0,1,2,5,4,0,56.3,69.2,54.5,45.5,5,1,10,7,1,1,0,0,https://www.skysports.com/football/west-ham-united-vs-crystal-palace/464783
6th November 2022,4:30pm,Tottenham Hotspur Stadium,a,"62,008",8,1,5,2,46.6,53.4,14,13,5,6,6,3,3,4,82.6,83.6,3,1,5,3,1,2,73.3,50,53.8,46.2,4,4,10,8,0,0,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-liverpool/464782
5th November 2022,3:00pm,Elland Road,h,"36,304",19,4,15,3,60.9,39.1,18,9,4,6,6,2,8,1,81.7,73,1,2,13,3,0,0,65.4,73.3,65.8,34.2,2,0,16,10,2,2,0,0,https://www.skysports.com/football/leeds-united-vs-bournemouth/464778
5th November 2022,3:00pm,Etihad Stadium,h,"52,395",1,2,10,1,70.6,29.4,16,4,5,2,5,1,6,1,91.1,79.3,3,0,9,0,3,0,12.5,73.3,54.5,45.5,1,3,6,11,2,4,1,0,https://www.skysports.com/football/manchester-city-vs-fulham/464779
5th November 2022,3:00pm,The City Ground,d,"28,869",16,2,9,2,47.2,52.8,15,6,7,2,6,3,2,1,75.7,76.9,2,1,3,3,0,2,61.1,75,53.3,46.7,0,5,10,11,2,2,0,0,https://www.skysports.com/football/nottingham-forest-vs-brentford/464780
5th November 2022,3:00pm,Molineux,a,"30,732",13,2,6,3,28.6,71.4,8,19,5,8,1,7,2,4,75.4,90.2,1,1,4,9,1,1,38.9,78.6,34.8,65.2,5,3,15,11,2,0,1,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-brighton-and-hove-albion/464784
5th November 2022,5:30pm,Goodison Park,a,"39,206",17,0,18,2,48.4,51.6,12,22,2,8,5,7,5,7,80.5,85.4,2,3,8,3,0,1,50,61.5,76,24,6,2,9,5,0,0,0,0,https://www.skysports.com/football/everton-vs-leicester-city/464777
30th October 2022,2:00pm,Emirates Stadium,h,"60,263",2,5,16,0,69.1,30.9,24,5,10,2,5,2,9,1,89.2,75.6,3,0,9,4,1,2,64.3,56,43.5,56.5,2,4,9,8,0,1,0,0,https://www.skysports.com/football/arsenal-vs-nottingham-forest/464765
30th October 2022,4:15pm,Old Trafford,h,"73,682",3,1,14,0,53,47,16,13,3,5,7,2,6,6,82.7,82.8,3,1,5,10,1,2,83.3,53.8,53.3,46.7,4,2,12,10,1,3,0,0,https://www.skysports.com/football/manchester-united-vs-west-ham-united/464773
29th October 2022,12:30p,The King Power Stadium,a,"32,223",18,0,1,1,35.7,64.3,10,15,5,5,4,6,1,4,80.3,90,1,0,3,10,0,2,75,57.1,45.8,54.2,4,5,5,10,0,0,0,0,https://www.skysports.com/football/leicester-city-vs-manchester-city/464771
29th October 2022,3:00pm,Vitality Stadium,a,"10,430",15,2,8,3,30.6,69.4,6,23,4,7,2,10,0,6,76.4,89.9,2,2,2,19,0,3,50,43.8,52.2,47.8,4,2,10,5,1,2,0,0,https://www.skysports.com/football/bournemouth-vs-tottenham-hotspur/464766
29th October 2022,3:00pm,Gtech Community Stadium,d,"17,051",9,1,13,1,57.8,42.2,12,13,3,4,6,6,3,3,80.4,75.3,1,0,3,6,0,1,52.9,35.3,62.1,37.9,3,2,10,17,3,3,0,1,https://www.skysports.com/football/brentford-vs-wolverhampton-wanderers/464767
29th October 2022,3:00pm,Amex Stadium,h,"31,746",6,4,12,1,41,59,19,15,9,7,7,5,3,3,79.1,86,2,1,8,7,0,0,61.1,50,47.8,52.2,7,5,16,6,1,2,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-chelsea/464768
29th October 2022,3:00pm,Selhurst Park,h,"25,130",11,1,20,0,44.4,55.6,12,14,3,4,4,6,5,4,72.1,81.3,1,3,8,4,5,3,69.6,65,50,50,4,2,13,12,3,3,0,0,https://www.skysports.com/football/crystal-palace-vs-southampton/464769
29th October 2022,3:00pm,"St James' Park, Newcastle",h,"52,233",4,4,7,0,59.5,40.5,20,3,7,0,10,0,3,3,78.8,73.9,3,0,3,0,2,3,60,47.4,61.9,38.1,0,3,11,11,1,1,0,0,https://www.skysports.com/football/newcastle-united-vs-aston-villa/464774
29th October 2022,5:30pm,Craven Cottage,d,"23,534",10,0,17,0,56.5,43.5,24,9,6,4,10,3,8,2,83.4,79.7,0,2,13,4,0,5,50,60,63.6,36.4,4,6,10,8,2,1,0,0,https://www.skysports.com/football/fulham-vs-everton/464770
29th October 2022,7:45pm,Anfield,a,"53,274",5,1,19,2,69,31,22,14,10,6,8,6,4,2,81.6,63.2,3,1,14,5,0,0,52.9,33.3,50,50,4,9,9,3,0,1,0,0,https://www.skysports.com/football/liverpool-vs-leeds-united/464772
24th October 2022,8:00pm,London Stadium,h,"62,447",14,2,15,0,54.4,45.6,20,5,4,3,8,2,8,0,84.7,83.1,1,1,5,0,1,0,45.5,76.2,48.6,51.4,3,2,9,11,0,2,0,0,https://www.skysports.com/football/west-ham-united-vs-bournemouth/464763
23rd October 2022,2:00pm,Villa Park,h,"41,693",7,4,9,0,45.1,54.9,19,12,11,3,3,5,5,4,75.1,76.1,2,1,7,6,0,1,60,50,41.7,58.3,3,7,14,11,1,0,0,0,https://www.skysports.com/football/aston-villa-vs-brentford/464755
23rd October 2022,2:00pm,Elland Road,a,"36,447",19,2,10,3,57.2,42.8,14,11,5,5,4,3,5,3,79.9,71.8,3,5,3,6,4,4,40.9,56.3,45.2,54.8,1,3,12,8,1,1,0,0,https://www.skysports.com/football/leeds-united-vs-fulham/464758
23rd October 2022,2:00pm,St. Mary's Stadium,d,"31,145",20,1,2,1,40.7,59.3,10,12,3,3,3,4,4,5,80.4,86.1,1,3,9,4,4,3,66.7,56.3,50,50,2,2,11,8,2,1,0,0,https://www.skysports.com/football/southampton-vs-arsenal/464761
23rd October 2022,2:00pm,Molineux,a,"31,425",13,0,18,4,60.9,39.1,21,5,6,4,7,1,8,0,85.3,72.6,2,2,9,2,3,3,63.6,34.8,65.4,34.6,0,5,10,12,2,1,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-leicester-city/464764
23rd October 2022,4:30pm,Tottenham Hotspur Stadium,a,"61,726",8,1,4,2,52.4,47.6,17,13,5,5,4,3,8,5,79,81.2,2,1,6,7,3,4,58.8,73.3,54.3,45.7,3,3,12,6,4,2,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-newcastle-united/464762
22nd October 2022,12:30p,The City Ground,h,"29,245",16,1,5,0,24.8,75.2,10,15,7,7,1,7,2,1,63.9,86.1,4,4,2,11,3,0,78.9,50,50,50,7,6,14,8,2,1,0,0,https://www.skysports.com/football/nottingham-forest-vs-liverpool/464760
22nd October 2022,3:00pm,Goodison Park,h,"38,939",17,3,11,0,45.8,54.2,9,9,6,2,1,4,2,3,81.9,84.9,2,0,3,4,1,2,76.9,60,54.5,45.5,2,3,16,14,3,4,0,0,https://www.skysports.com/football/everton-vs-crystal-palace/464757
22nd October 2022,3:00pm,Etihad Stadium,h,"53,223",1,3,6,1,48.4,51.6,10,8,4,2,3,3,3,3,82.5,84.5,2,1,7,3,0,4,64.3,37.5,11.1,88.9,1,1,11,12,1,3,0,0,https://www.skysports.com/football/manchester-city-vs-brighton-and-hove-albion/464759
22nd October 2022,5:30pm,Stamford Bridge,d,"39,503",12,1,3,1,47.9,52.1,6,13,2,6,3,6,1,1,78,77.6,1,1,6,4,2,3,50,44.4,46.7,53.3,5,1,8,10,1,4,0,0,https://www.skysports.com/football/chelsea-vs-manchester-united/464756
20th October 2022,7:30pm,Craven Cottage,h,"23,508",10,3,7,0,60.4,39.6,18,12,8,6,5,3,5,3,85.7,77.5,2,0,9,7,0,3,58.3,42.9,53.1,46.9,6,5,11,11,0,2,0,1,https://www.skysports.com/football/fulham-vs-aston-villa/464750
20th October 2022,8:15pm,The King Power Stadium,h,"30,814",18,2,19,0,46.8,53.2,5,14,1,2,1,8,3,4,78.3,78.4,1,1,2,9,4,2,53.8,53.3,33.3,66.7,2,0,15,11,2,1,0,0,https://www.skysports.com/football/leicester-city-vs-leeds-united/464751
19th October 2022,7:30pm,Vitality Stadium,a,"10,405",15,0,20,1,53.5,46.5,15,9,3,3,8,2,4,4,81.9,81,0,1,7,3,2,0,38.5,47.8,62.5,37.5,2,3,8,13,1,3,0,0,https://www.skysports.com/football/bournemouth-vs-southampton/464746
19th October 2022,7:30pm,Gtech Community Stadium,d,"17,118",9,0,12,0,33.7,66.3,8,14,5,5,2,3,1,6,70,85.2,2,1,6,2,2,0,47.4,47.1,52.2,47.8,5,5,7,7,0,0,0,0,https://www.skysports.com/football/brentford-vs-chelsea/464747
19th October 2022,7:30pm,Anfield,h,"53,346",5,1,14,0,53.8,46.2,22,8,7,3,8,4,7,1,85.2,80.8,1,4,8,3,1,0,61.5,53.3,61.1,38.9,3,6,9,8,0,0,0,0,https://www.skysports.com/football/liverpool-vs-west-ham-united/464752
19th October 2022,7:30pm,"St James' Park, Newcastle",h,"52,247",4,1,17,0,49.8,50.2,16,1,4,0,9,1,3,0,76.8,76.2,1,0,8,2,0,3,77.8,44.4,64.7,35.3,0,3,9,12,2,4,0,0,https://www.skysports.com/football/newcastle-united-vs-everton/464754
19th October 2022,8:15pm,Old Trafford,h,"73,677",3,2,8,0,51.9,48.1,28,9,10,2,9,5,9,2,85.4,84.3,2,1,8,3,4,0,70.6,50,61.1,38.9,2,8,7,7,1,0,0,0,https://www.skysports.com/football/manchester-united-vs-tottenham-hotspur/464753
18th October 2022,7:30pm,Amex Stadium,d,"31,463",6,0,16,0,70.3,29.7,19,3,7,0,7,3,5,0,86.8,67.7,2,0,9,1,1,0,63.6,61.5,51.6,48.4,0,7,10,14,3,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-nottingham-forest/464748
18th October 2022,8:15pm,Selhurst Park,h,"25,125",11,2,13,1,51.3,48.7,14,10,4,4,5,5,5,1,82.4,79.4,2,2,4,3,0,4,52.2,51.7,58.6,41.4,3,2,14,18,3,1,0,0,https://www.skysports.com/football/crystal-palace-vs-wolverhampton-wanderers/464749
16th October 2022,2:00pm,Villa Park,a,"41,754",7,0,12,2,41.1,58.9,18,8,7,4,7,3,4,1,80.2,85.4,3,2,7,1,3,1,41.7,66.7,66.7,33.3,2,7,12,11,0,3,0,0,https://www.skysports.com/football/aston-villa-vs-chelsea/464735
16th October 2022,2:00pm,Elland Road,a,"36,700",19,0,2,1,47,53,16,9,4,4,5,2,7,3,78,83,1,1,6,3,4,0,56,58.8,56.5,43.5,3,4,10,11,0,2,0,0,https://www.skysports.com/football/leeds-united-vs-arsenal/464738
16th October 2022,2:00pm,Old Trafford,d,"73,726",3,0,4,0,63,37,15,9,2,2,8,5,5,2,81.1,72.1,2,0,4,4,2,0,61.1,30.8,35,65,2,2,13,11,3,1,0,0,https://www.skysports.com/football/manchester-united-vs-newcastle-united/464741
16th October 2022,2:00pm,St. Mary's Stadium,d,"29,159",20,1,14,1,39.1,60.9,10,25,8,4,1,9,1,12,72.4,80.1,1,1,4,14,1,0,35.7,54.5,50,50,3,7,7,3,1,1,0,0,https://www.skysports.com/football/southampton-vs-west-ham-united/464742
16th October 2022,4:30pm,Anfield,h,"53,286",5,1,1,0,36.8,63.2,13,16,2,6,8,4,3,6,76.9,87.7,5,1,5,6,3,0,52.2,70,40,60,6,1,10,7,3,1,0,0,https://www.skysports.com/football/liverpool-vs-manchester-city/464740
15th October 2022,12:30p,The King Power Stadium,d,"31,298",18,0,11,0,53.1,46.9,14,8,5,1,5,5,4,2,85.1,82.9,1,0,9,2,2,1,48,69.2,40.9,59.1,1,6,18,13,2,2,0,0,https://www.skysports.com/football/leicester-city-vs-crystal-palace/464739
15th October 2022,3:00pm,Craven Cottage,d,"22,913",10,2,15,2,68.9,31.1,19,10,4,6,8,4,7,0,84.8,69.8,0,2,5,6,1,0,75,50,51.4,48.6,4,2,9,11,2,0,0,0,https://www.skysports.com/football/fulham-vs-bournemouth/464737
15th October 2022,3:00pm,Molineux,h,"31,554",13,1,16,0,58,42,9,10,2,2,5,6,2,2,81.6,71.9,0,0,4,5,2,1,47.1,37.5,34.6,65.4,2,1,17,13,2,2,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-nottingham-forest/464744
15th October 2022,5:30pm,Tottenham Hotspur Stadium,h,"61,812",8,2,17,0,61.5,38.5,21,4,7,0,6,3,8,1,88.3,81.7,2,0,7,1,0,0,75,66.7,56.5,43.5,0,5,12,13,1,4,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-everton/464743
14th October 2022,8:00pm,Gtech Community Stadium,h,"17,016",9,2,6,0,27.5,72.5,7,21,3,7,4,4,0,10,66.8,85.1,2,2,2,11,0,3,58.3,60,53.1,46.9,7,0,12,15,3,1,0,0,https://www.skysports.com/football/brentford-vs-brighton-and-hove-albion/464736
10th October 2022,8:00pm,The City Ground,d,"29,208",16,1,7,1,39.9,60.1,6,12,3,2,1,2,2,8,73.9,86.2,0,1,1,4,0,3,64.3,50,70,30,1,2,13,19,3,3,0,0,https://www.skysports.com/football/nottingham-forest-vs-aston-villa/464733
9th October 2022,2:00pm,Selhurst Park,h,"25,042",11,2,19,1,54.5,45.5,13,10,5,4,5,2,3,4,76.8,64.3,3,1,5,3,2,2,38.9,44.8,53.6,46.4,3,3,13,23,3,3,0,0,https://www.skysports.com/football/crystal-palace-vs-leeds-united/464729
9th October 2022,2:00pm,London Stadium,h,"62,454",14,3,10,1,50.3,49.7,17,8,8,2,4,4,5,2,82.5,82.3,3,0,4,2,1,2,58.3,50,43.8,56.3,1,5,9,7,1,3,0,0,https://www.skysports.com/football/west-ham-united-vs-fulham/464734
9th October 2022,4:30pm,Emirates Stadium,h,"59,968",2,3,5,2,44,56,11,8,7,3,1,2,3,3,78.2,80.9,2,1,4,3,3,6,62.5,46.7,56.5,43.5,2,4,11,11,1,2,0,0,https://www.skysports.com/football/arsenal-vs-liverpool/464725
9th October 2022,7:00pm,Goodison Park,a,"39,258",17,1,3,2,39.7,60.3,11,12,2,4,3,5,6,3,78.7,83.7,0,3,5,4,1,4,66.7,40,43.3,56.7,2,1,7,13,2,1,0,0,https://www.skysports.com/football/everton-vs-manchester-united/464730
8th October 2022,3:00pm,Vitality Stadium,h,"10,272",15,2,18,1,44.2,55.8,10,9,4,5,2,2,4,2,84.7,86.2,1,1,7,2,3,0,84.6,68.8,26.9,73.1,4,2,8,16,1,2,0,0,https://www.skysports.com/football/bournemouth-vs-leicester-city/464726
8th October 2022,3:00pm,Stamford Bridge,h,"39,940",12,3,13,0,57.4,42.6,20,8,7,2,10,5,3,1,87.6,83.5,4,1,4,2,3,0,57.7,69.2,40.9,59.1,2,4,8,8,2,0,0,0,https://www.skysports.com/football/chelsea-vs-wolverhampton-wanderers/464728
8th October 2022,3:00pm,Etihad Stadium,h,"53,365",1,4,20,0,65.2,34.8,21,5,8,0,9,3,4,2,89.5,80.7,6,0,9,1,1,1,53.3,47.4,52.4,47.6,0,4,4,8,0,1,0,0,https://www.skysports.com/football/manchester-city-vs-southampton/464731
8th October 2022,3:00pm,"St James' Park, Newcastle",h,"52,067",4,5,9,1,54.4,45.6,16,6,6,3,4,1,6,2,79.4,74.7,2,0,9,5,1,3,40,70,53.6,46.4,2,2,14,9,0,1,0,0,https://www.skysports.com/football/newcastle-united-vs-brentford/464732
8th October 2022,5:30pm,Amex Stadium,a,"31,498",6,0,8,1,58.9,41.1,14,8,4,3,5,4,5,1,87.9,81.4,1,1,6,2,2,3,52.9,80,52.2,47.8,2,4,9,14,1,2,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-tottenham-hotspur/464727
3rd October 2022,8:00pm,The King Power Stadium,h,"32,202",18,4,16,0,51.6,48.4,17,10,7,3,7,5,3,2,84.6,78,2,3,6,6,3,4,63.6,69.2,52.2,47.8,3,4,13,12,2,4,0,0,https://www.skysports.com/football/leicester-city-vs-nottingham-forest/464720
2nd October 2022,2:00pm,Etihad Stadium,h,"53,475",1,6,3,3,53.9,46.1,22,12,10,8,6,1,6,3,88,85.7,3,0,5,1,1,0,57.1,35.7,62.5,37.5,5,3,3,9,0,3,0,0,https://www.skysports.com/football/manchester-city-vs-manchester-united/464722
2nd October 2022,4:30pm,Elland Road,d,"36,582",19,0,7,0,43.8,56.2,6,19,1,7,2,8,3,4,72,77.2,0,3,2,9,0,2,75,68.8,42.1,57.9,6,1,23,12,3,2,1,0,https://www.skysports.com/football/leeds-united-vs-aston-villa/464719
1st October 2022,12:30p,Emirates Stadium,h,"60,278",2,3,8,1,64.7,35.3,22,7,9,3,9,2,4,2,90.4,78.2,1,1,5,2,1,3,71.4,62.5,56.3,43.8,2,6,10,10,2,1,0,1,https://www.skysports.com/football/arsenal-vs-tottenham-hotspur/464715
1st October 2022,3:00pm,Vitality Stadium,d,"10,126",15,0,9,0,42,58,7,13,1,4,4,5,2,4,79.2,83,1,1,7,8,1,2,57.1,70,54.5,45.5,4,0,11,10,1,2,0,0,https://www.skysports.com/football/bournemouth-vs-brentford/464716
1st October 2022,3:00pm,Selhurst Park,a,"25,198",11,1,12,2,36,64,7,13,3,3,4,7,0,3,77.9,88,1,0,5,2,1,0,55.6,56.3,45,55,1,2,11,13,1,3,0,0,https://www.skysports.com/football/crystal-palace-vs-chelsea/464717
1st October 2022,3:00pm,Craven Cottage,a,"22,913",10,1,4,4,31.7,68.3,3,19,1,10,1,4,1,5,67.6,87.6,1,4,1,8,4,7,76.9,66.7,10,90,6,0,9,10,2,0,1,0,https://www.skysports.com/football/fulham-vs-newcastle-united/464718
1st October 2022,3:00pm,Anfield,d,"53,320",5,3,6,3,53.8,46.2,15,6,7,6,6,0,2,0,81.5,78,4,5,9,2,1,0,64.3,39.1,57.9,42.1,3,5,9,13,1,1,0,0,https://www.skysports.com/football/liverpool-vs-brighton-and-hove-albion/464721
1st October 2022,3:00pm,St. Mary's Stadium,a,"30,510",20,1,17,2,54.2,45.8,22,12,6,5,9,4,7,3,81.3,77.6,3,4,7,6,0,1,50,56.5,40.6,59.4,3,5,11,10,2,2,0,0,https://www.skysports.com/football/southampton-vs-everton/464723
1st October 2022,5:30pm,London Stadium,h,"62,444",14,2,13,0,39.1,60.9,18,15,5,4,5,7,8,4,80.9,87.2,0,1,1,6,2,1,59.1,58.3,64,36,4,3,8,6,2,2,0,0,https://www.skysports.com/football/west-ham-united-vs-wolverhampton-wanderers/464724
18th September 2022,12:00p,Gtech Community Stadium,a,"17,122",9,0,2,3,36.1,63.9,5,13,2,7,3,4,0,2,74.1,86,1,2,3,3,3,1,61.9,75,72.4,27.6,4,2,10,10,0,2,0,0,https://www.skysports.com/football/brentford-vs-arsenal/464706
18th September 2022,2:15pm,Goodison Park,h,"39,298",17,1,14,0,53.6,46.4,7,14,2,4,4,3,1,7,83,79.6,0,0,5,14,1,1,61.1,38.9,47.6,52.4,4,1,8,11,3,1,0,0,https://www.skysports.com/football/everton-vs-west-ham-united/464709
17th September 2022,12:30p,Molineux,a,"31,578",13,0,1,3,40.8,59.2,6,16,1,7,4,5,1,4,83.6,90.5,0,1,5,7,0,1,57.9,57.9,26.7,73.3,4,1,7,9,2,1,1,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-manchester-city/464714
17th September 2022,3:00pm,"St James' Park, Newcastle",d,"52,238",4,1,15,1,72.4,27.6,20,10,7,3,8,5,5,2,86.5,67.3,0,1,8,1,3,1,75,77.8,56,44,2,6,10,11,2,2,0,0,https://www.skysports.com/football/newcastle-united-vs-bournemouth/464711
17th September 2022,5:30pm,Tottenham Hotspur Stadium,h,"61,450",8,6,18,2,43.7,56.3,16,19,11,7,2,7,3,5,83.6,87.3,2,1,6,1,1,0,28.6,75,54.5,45.5,5,5,9,9,1,2,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-leicester-city/464713
16th September 2022,8:00pm,Villa Park,h,"40,758",7,1,20,0,52.7,47.3,11,7,3,1,3,3,5,3,74.3,73.7,1,0,6,3,1,0,54.3,64.3,59.2,40.8,1,2,13,13,3,1,0,0,https://www.skysports.com/football/aston-villa-vs-southampton/464705
16th September 2022,8:00pm,The City Ground,a,"28,654",16,2,10,3,40.8,59.2,11,15,3,7,5,3,3,5,74.4,82.9,2,2,2,10,2,1,30,41.7,55.9,44.1,4,1,11,10,2,4,0,0,https://www.skysports.com/football/nottingham-forest-vs-fulham/464712
4th September 2022,2:00pm,Amex Stadium,h,"31,185",6,5,18,2,53.5,46.5,23,6,11,4,5,1,7,1,85.4,82.6,3,2,10,1,2,3,70.6,61.5,47.6,52.4,2,7,6,8,1,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-leicester-city/464687
4th September 2022,4:30pm,Old Trafford,h,"73,431",3,3,2,1,39.5,60.5,10,16,6,3,3,8,1,5,78.1,83.4,4,2,2,5,4,0,47.1,57.1,76.9,23.1,2,3,13,9,3,3,0,0,https://www.skysports.com/football/manchester-united-vs-arsenal/464690
3rd September 2022,12:30p,Goodison Park,d,"39,240",17,0,5,0,39.1,60.9,14,23,3,8,6,9,5,6,71.9,81,1,0,7,9,3,2,57.9,80,39.1,60.9,8,4,7,11,2,2,0,0,https://www.skysports.com/football/everton-vs-liverpool/464689
3rd September 2022,3:00pm,Gtech Community Stadium,h,"16,957",9,5,19,2,31.1,68.9,14,17,8,6,5,7,1,4,64.7,82.4,3,3,2,6,1,1,70.8,70.8,60.7,39.3,4,3,8,9,2,2,0,0,https://www.skysports.com/football/brentford-vs-leeds-united/464686
3rd September 2022,3:00pm,Stamford Bridge,h,"39,923",12,2,14,1,68.1,31.9,8,6,3,3,2,2,3,1,87.3,75.3,2,2,10,3,1,1,68.8,64.3,50,50,2,1,6,11,4,2,0,0,https://www.skysports.com/football/chelsea-vs-west-ham-united/464688
3rd September 2022,3:00pm,"St James' Park, Newcastle",d,"51,863",4,0,11,0,51.7,48.3,23,19,6,9,7,4,10,6,78.8,77.9,3,0,13,5,2,1,61.1,73.9,50,50,9,5,19,12,2,2,0,0,https://www.skysports.com/football/newcastle-united-vs-crystal-palace/464691
3rd September 2022,3:00pm,The City Ground,a,"28,720",16,2,15,3,52.7,47.3,11,8,3,3,3,2,5,3,82.7,81.2,0,1,4,6,1,1,53.8,66.7,50,50,0,1,13,10,2,1,0,0,https://www.skysports.com/football/nottingham-forest-vs-bournemouth/464692
3rd September 2022,3:00pm,Tottenham Hotspur Stadium,h,"61,641",8,2,10,1,51.9,48.1,23,9,10,3,7,5,6,1,88,85.7,1,0,10,3,3,0,47.4,61.1,60.7,39.3,2,8,9,6,3,4,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-fulham/464693
3rd September 2022,3:00pm,Molineux,h,"30,546",13,1,20,0,50.8,49.2,7,12,2,1,4,7,1,4,80.8,78.1,2,1,5,6,1,0,64.3,60,58.3,41.7,1,1,10,14,4,2,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-southampton/464694
3rd September 2022,5:30pm,Villa Park,d,"41,830",7,1,1,1,27.7,72.3,3,13,1,4,1,5,1,4,70.7,88.2,0,4,1,4,5,3,60,38.5,32.5,67.5,3,0,7,6,2,0,0,0,https://www.skysports.com/football/aston-villa-vs-manchester-city/464685
1st September 2022,8:00pm,The King Power Stadium,a,"32,226",18,0,3,1,53.9,46.1,10,9,2,2,5,5,3,2,81.8,78,1,1,1,3,0,2,61.9,53.3,52.9,47.1,1,2,7,15,1,3,0,0,https://www.skysports.com/football/leicester-city-vs-manchester-united/464680
31st August 2022,7:30pm,Emirates Stadium,h,"60,012",2,2,7,1,58.9,41.1,22,4,9,3,6,1,7,0,84.9,77,2,0,10,3,1,1,70,37.5,52.4,47.6,2,6,10,14,2,3,0,0,https://www.skysports.com/football/arsenal-vs-aston-villa/464675
31st August 2022,7:30pm,Vitality Stadium,d,"10,113",15,0,13,0,34.1,65.9,5,17,2,4,2,9,1,4,74.4,89.2,0,2,2,5,0,3,83.3,42.3,46.2,53.8,3,2,12,12,2,1,0,0,https://www.skysports.com/football/bournemouth-vs-wolverhampton-wanderers/464676
31st August 2022,7:30pm,Etihad Stadium,h,"53,409",1,6,16,0,74.9,25.1,17,8,9,1,6,4,2,3,91.7,73.6,4,2,10,1,2,2,84.6,57.1,68,32,1,3,9,7,0,1,0,0,https://www.skysports.com/football/manchester-city-vs-nottingham-forest/464683
31st August 2022,7:45pm,London Stadium,d,"62,450",14,1,8,1,38.3,61.7,14,12,4,3,8,2,2,7,83.2,89.4,2,0,3,4,1,0,69.2,42.9,64.3,35.7,3,3,10,10,2,5,0,0,https://www.skysports.com/football/west-ham-united-vs-tottenham-hotspur/464681
31st August 2022,8:00pm,Anfield,h,"53,316",5,2,4,1,71.8,28.2,23,5,6,2,8,3,9,0,83.7,63.7,1,1,13,0,2,2,71.4,39.1,40.5,59.5,1,4,9,10,0,2,0,0,https://www.skysports.com/football/liverpool-vs-newcastle-united/464682
30th August 2022,7:30pm,Selhurst Park,d,"25,043",11,1,9,1,48.9,51.1,13,9,4,3,6,5,3,1,81.1,80.1,0,5,4,6,1,0,57.1,92.9,53.8,46.2,2,3,11,8,1,2,0,0,https://www.skysports.com/football/crystal-palace-vs-brentford/464677
30th August 2022,7:30pm,Craven Cottage,h,"22,224",10,2,6,1,39.1,60.9,10,7,3,4,7,3,0,0,74.7,83.7,1,1,3,3,0,2,57.7,52.2,58.1,41.9,2,2,9,11,2,1,0,0,https://www.skysports.com/football/fulham-vs-brighton-and-hove-albion/464678
30th August 2022,7:45pm,St. Mary's Stadium,h,"31,542",20,2,12,1,32.2,67.8,9,10,7,4,0,2,2,4,61,82,3,1,5,3,0,3,68.4,50,44.8,55.2,3,3,15,10,2,1,0,0,https://www.skysports.com/football/southampton-vs-chelsea/464684
30th August 2022,8:00pm,Elland Road,d,"36,338",19,1,17,1,69.1,30.9,14,7,5,2,8,2,1,3,83.1,69.5,1,3,10,2,2,2,52,46.4,66.7,33.3,1,4,10,9,3,3,0,0,https://www.skysports.com/football/leeds-united-vs-everton/464679
28th August 2022,2:00pm,Villa Park,a,"41,796",7,0,14,1,57.8,42.2,9,7,3,2,4,3,2,2,84,78.5,0,0,3,2,2,1,64.7,46.2,59.1,40.9,1,3,10,10,2,0,0,0,https://www.skysports.com/football/aston-villa-vs-west-ham-united/464666
