vp(m/s),vs(m/s),ro(g/cc)
4496.35,2632.93,2.50
4496.35,2634.65,2.50
4496.35,2634.65,2.50
4496.35,2635.07,2.50
4499.70,2635.96,2.51
4522.16,2636.91,2.51
4543.13,2636.97,2.51
4543.13,2636.97,2.51
4543.13,2636.97,2.51
4543.13,2636.97,2.51
4543.13,2636.97,2.51
4543.13,2636.97,2.51
4543.13,2636.97,2.51
4543.13,2636.97,2.50
4543.13,2636.97,2.50
4543.13,2636.97,2.50
4543.13,2636.97,2.50
4543.13,2636.91,2.50
4543.13,2635.96,2.50
4543.13,2635.07,2.50
4543.13,2635.07,2.51
4543.13,2635.07,2.51
4555.97,2635.96,2.51
4557.00,2636.91,2.51
4559.39,2636.97,2.51
4564.52,2637.79,2.51
4566.65,2637.97,2.51
4567.19,2639.32,2.51
4568.31,2639.65,2.51
4568.31,2640.81,2.51
4568.31,2640.81,2.51
4568.31,2639.65,2.51
4568.31,2639.32,2.51
4567.19,2637.97,2.51
4566.65,2637.79,2.51
4564.52,2636.97,2.51
4557.00,2636.91,2.52
4555.97,2635.96,2.53
4543.13,2634.65,2.53
4513.96,2634.65,2.53
4509.21,2623.60,2.53
4507.38,2616.50,2.54
4499.52,2608.77,2.54
4489.18,2606.74,2.54
4473.98,2603.34,2.55
4473.98,2595.38,2.56
4473.98,2584.74,2.57
4473.98,2584.74,2.57
4473.98,2584.74,2.57
4473.98,2584.74,2.57
4473.98,2584.74,2.57
4473.98,2584.74,2.57
4473.98,2584.74,2.57
4473.98,2584.74,2.57
4473.98,2584.74,2.57
4457.61,2584.74,2.57
4450.17,2584.74,2.57
4430.92,2584.74,2.57
4424.69,2584.74,2.57
4423.68,2584.74,2.57
4420.93,2581.12,2.57
4420.93,2572.14,2.57
4420.93,2569.75,2.57
4420.93,2561.86,2.57
4417.52,2558.88,2.57
4417.52,2548.73,2.57
4417.52,2558.30,2.57
4417.52,2558.88,2.57
4417.52,2561.86,2.57
4417.52,2569.75,2.56
4417.52,2569.75,2.56
4417.52,2569.75,2.55
4412.40,2569.75,2.55
4396.50,2568.54,2.54
4391.88,2568.54,2.54
4391.16,2568.54,2.54
4371.16,2568.54,2.53
4369.21,2568.54,2.51
4369.21,2563.68,2.50
4369.21,2559.37,2.50
4369.21,2558.88,2.50
4369.21,2558.88,2.50
4369.21,2558.88,2.50
4369.21,2558.88,2.50
4369.21,2558.88,2.50
4369.21,2558.88,2.49
4369.21,2558.88,2.49
4369.21,2558.88,2.49
4369.21,2558.88,2.49
4369.21,2558.88,2.49
4369.21,2558.88,2.49
4369.21,2558.88,2.49
4369.21,2558.88,2.48
4370.00,2558.88,2.48
4371.16,2558.88,2.48
4371.16,2558.88,2.48
4371.16,2558.88,2.48
4371.16,2558.88,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2558.30,2.48
4371.16,2559.37,2.48
4371.16,2560.31,2.48
4373.62,2563.68,2.48
4383.51,2568.54,2.48
4386.10,2568.54,2.48
4413.76,2568.54,2.48
4433.38,2568.54,2.49
4450.27,2570.49,2.48
4461.11,2575.98,2.48
4471.43,2577.05,2.48
4473.95,2579.61,2.48
4474.64,2579.61,2.48
4475.91,2579.61,2.48
4484.79,2579.61,2.48
4485.41,2589.35,2.49
4488.62,2609.90,2.49
4489.49,2625.32,2.49
4489.49,2625.32,2.49
4489.49,2625.32,2.49
4489.49,2625.32,2.49
4489.49,2625.32,2.50
4489.49,2625.32,2.50
4489.49,2625.32,2.51
4489.49,2625.32,2.51
4489.49,2625.32,2.51
4489.49,2625.32,2.51
4489.49,2625.32,2.51
4489.49,2625.32,2.51
4489.50,2625.32,2.51
4492.10,2625.32,2.51
4492.10,2625.32,2.52
4492.10,2625.32,2.52
4492.10,2625.32,2.52
4492.10,2625.32,2.52
4492.10,2625.32,2.52
4492.10,2625.32,2.52
4492.10,2625.32,2.52
4492.10,2625.32,2.53
4492.10,2625.32,2.53
4492.10,2625.32,2.53
4489.50,2625.32,2.54
4489.50,2625.32,2.55
4489.50,2613.24,2.57
4489.50,2591.76,2.57
4425.80,2545.71,2.57
4425.80,2531.19,2.57
4425.80,2531.19,2.57
4425.80,2531.19,2.57
4425.80,2531.19,2.57
4425.80,2531.19,2.57
4425.80,2531.19,2.57
4425.80,2531.19,2.57
4411.06,2531.19,2.57
4400.72,2516.31,2.57
4383.08,2495.37,2.57
4348.23,2421.74,2.57
4325.95,2411.42,2.57
4281.92,2389.17,2.58
4280.41,2383.96,2.58
4245.63,2356.17,2.58
4243.44,2321.14,2.58
4220.20,2278.01,2.59
4190.72,2272.83,2.59
4190.72,2260.09,2.60
4190.72,2260.09,2.60
4190.72,2260.09,2.60
4190.72,2260.09,2.60
4190.72,2260.09,2.60
4190.72,2260.09,2.60
4220.20,2260.09,2.61
4235.69,2260.09,2.61
4243.44,2272.83,2.61
4245.63,2278.01,2.61
4280.41,2321.14,2.61
4281.92,2350.96,2.61
4325.95,2356.17,2.61
4383.08,2389.17,2.61
4400.72,2411.42,2.61
4411.06,2421.74,2.61
4411.06,2421.74,2.61
4411.06,2421.74,2.61
4411.06,2396.16,2.61
4411.06,2396.16,2.61
4418.57,2396.16,2.62
4425.80,2417.90,2.62
4430.23,2421.74,2.62
4448.87,2439.93,2.62
4459.67,2464.26,2.62
4459.67,2464.26,2.62
4459.67,2464.26,2.62
4459.67,2464.26,2.62
4459.67,2464.26,2.62
4516.25,2464.26,2.62
4516.52,2464.26,2.62
4516.52,2464.26,2.63
4516.52,2464.26,2.63
4516.25,2454.17,2.63
4514.14,2439.93,2.63
4459.67,2438.48,2.63
4448.87,2421.74,2.63
4439.12,2417.90,2.63
4437.50,2402.80,2.63
4430.23,2401.66,2.63
4430.23,2396.16,2.63
4437.50,2389.82,2.64
4439.12,2389.82,2.64
4448.87,2389.82,2.64
4459.67,2396.16,2.65
4460.14,2401.66,2.65
4495.41,2402.80,2.65
4514.14,2417.90,2.65
4516.25,2438.48,2.65
4516.52,2439.93,2.66
4535.13,2454.17,2.66
4536.92,2464.26,2.65
4536.92,2467.30,2.65
4535.13,2467.30,2.65
