vp(m/s),vs(m/s),ro(g/cc)
4183.72,2160.55,2.57
4183.72,2160.55,2.57
4183.72,2160.55,2.57
4183.72,2160.55,2.57
4183.72,2160.55,2.57
4183.72,2160.55,2.57
4183.72,2160.55,2.57
4183.72,2160.55,2.57
4183.72,2160.55,2.57
4183.72,2160.55,2.57
4183.72,2160.55,2.57
4183.72,2160.55,2.56
4183.72,2160.55,2.56
4183.72,2153.64,2.56
4164.78,2149.07,2.55
4143.84,2140.83,2.55
4143.84,2121.97,2.54
4143.84,2121.97,2.54
4143.84,2121.97,2.54
4143.84,2121.97,2.54
4143.84,2121.97,2.54
4143.84,2121.97,2.54
4091.93,2119.92,2.54
4085.60,2100.75,2.54
3926.77,2013.68,2.54
3763.55,1906.16,2.53
3732.99,1903.63,2.47
3729.48,1899.94,2.47
3719.12,1897.26,2.47
3719.12,1897.26,2.47
3719.12,1897.26,2.46
3719.12,1897.26,2.46
3719.12,1897.26,2.45
3719.12,1897.26,2.45
3719.12,1897.26,2.45
3716.81,1897.26,2.45
3714.91,1897.26,2.45
3712.40,1897.26,2.45
3709.56,1895.06,2.45
3689.79,1894.27,2.45
3683.53,1888.31,2.45
3677.52,1877.17,2.45
3673.66,1867.10,2.45
3668.50,1860.50,2.44
3666.92,1854.50,2.44
3663.07,1851.30,2.44
3657.45,1846.97,2.44
3656.82,1845.50,2.44
3649.54,1842.02,2.43
3649.25,1839.98,2.43
3637.19,1838.68,2.43
3634.82,1837.71,2.43
3625.82,1836.72,2.43
3625.75,1826.86,2.42
3617.25,1822.15,2.42
3617.25,1822.15,2.42
3617.25,1822.15,2.42
3625.75,1826.86,2.42
3625.82,1836.72,2.42
3634.82,1837.71,2.42
3637.19,1838.68,2.42
3637.19,1845.50,2.42
3637.19,1851.30,2.42
3649.25,1861.71,2.42
3650.22,1864.69,2.42
3652.36,1864.92,2.43
3656.82,1866.19,2.43
3657.45,1866.19,2.43
3657.45,1866.19,2.43
3652.36,1866.19,2.43
3652.36,1866.19,2.43
3652.36,1866.19,2.43
3652.36,1866.19,2.43
3650.22,1864.92,2.43
3637.19,1864.69,2.42
3636.71,1861.71,2.42
3628.37,1857.98,2.42
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3628.37,1857.98,2.43
3636.71,1857.98,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3636.71,1861.71,2.43
3628.37,1857.98,2.43
3622.24,1846.94,2.43
3602.03,1839.20,2.43
3589.44,1834.77,2.43
3589.44,1831.13,2.43
3587.92,1827.02,2.44
3585.17,1824.65,2.44
3562.15,1824.01,2.43
3547.10,1815.06,2.43
3546.63,1809.66,2.43
3546.05,1807.66,2.42
3539.04,1799.20,2.42
3532.36,1796.63,2.42
3525.11,1791.52,2.42
3523.25,1788.76,2.42
3517.38,1788.67,2.42
3502.86,1779.23,2.42
3502.86,1774.15,2.42
3517.38,1774.15,2.42
3524.50,1779.23,2.42
3525.11,1788.67,2.42
3525.11,1788.76,2.42
3525.11,1788.76,2.42
3525.11,1788.76,2.42
3525.11,1788.76,2.42
3525.11,1788.76,2.42
3525.11,1788.76,2.42
3524.50,1788.76,2.42
3517.38,1788.67,2.42
3472.23,1779.23,2.41
3464.49,1767.79,2.41
3455.81,1759.08,2.41
3450.45,1754.82,2.40
3444.92,1754.71,2.40
3434.49,1750.67,2.40
3428.52,1750.67,2.40
3428.52,1750.67,2.40
3428.52,1750.67,2.40
3428.52,1750.67,2.41
3428.52,1750.67,2.41
3428.52,1750.67,2.41
3428.52,1750.67,2.41
3428.52,1750.67,2.41
3428.52,1750.67,2.41
3428.52,1754.71,2.41
3434.49,1785.44,2.42
3472.23,1788.76,2.42
3517.38,1796.63,2.42
3524.50,1809.17,2.43
3545.11,1815.06,2.43
3546.63,1821.28,2.44
3587.92,1824.01,2.45
3591.28,1827.02,2.45
3628.33,1831.13,2.45
3654.03,1849.21,2.47
3673.77,1894.99,2.47
3705.00,1937.76,2.47
3785.78,1957.23,2.48
3792.26,1972.03,2.49
3855.83,1990.75,2.50
3875.15,1993.87,2.50
3910.79,2013.99,2.50
3924.42,2122.46,2.51
4185.97,2211.41,2.52
4189.23,2226.72,2.52
4217.06,2235.27,2.52
4256.10,2243.73,2.53
4257.91,2262.85,2.56
4288.05,2292.29,2.56
4307.48,2308.81,2.56
4336.35,2315.32,2.56
4356.84,2317.75,2.56
4372.62,2331.19,2.57
4394.18,2333.99,2.57
4476.66,2335.68,2.57
4504.52,2338.03,2.58
4602.91,2361.40,2.58
4630.85,2382.41,2.58
4697.14,2382.41,2.59
4797.38,2385.95,2.59
4870.64,2394.00,2.59
4883.85,2394.00,2.59
4921.99,2394.00,2.60
4921.99,2394.00,2.60
4921.99,2394.00,2.60
4921.99,2394.00,2.60
4921.99,2394.00,2.60
4921.99,2394.00,2.60
4921.99,2394.00,2.60
4921.99,2394.00,2.60
4921.99,2391.20,2.60
4921.99,2390.23,2.60
4926.82,2389.89,2.60
4926.82,2385.95,2.60
4926.82,2382.41,2.60
4926.82,2382.41,2.60
4926.82,2382.41,2.60
4925.12,2382.41,2.60
4923.68,2382.41,2.60
4923.68,2382.41,2.60
4921.99,2382.41,2.60
4921.99,2382.41,2.60
4921.99,2385.95,2.60
4921.99,2389.89,2.60
4921.99,2390.23,2.60
4921.99,2391.20,2.60
4921.99,2391.20,2.60
4921.99,2394.00,2.60
4921.99,2397.32,2.60
4921.99,2404.36,2.60
4921.99,2415.17,2.60
4921.99,2420.72,2.60
4921.99,2420.91,2.60
4921.99,2422.30,2.60
4921.99,2431.68,2.60
4921.99,2434.55,2.60
4911.59,2434.55,2.60
4906.27,2434.55,2.59
4897.70,2422.30,2.59
4892.28,2420.91,2.59
4883.81,2420.72,2.59
4874.94,2415.17,2.59
4872.91,2404.75,2.59
4853.41,2404.36,2.59
4837.56,2397.32,2.59
4833.51,2394.00,2.59
4829.97,2391.20,2.59
4826.17,2390.23,2.59
4825.12,2390.23,2.59
4716.62,2390.23,2.59
4593.11,2390.23,2.57
4589.84,2389.89,2.56
4568.13,2387.74,2.56
4551.62,2387.74,2.55
4500.26,2387.74,2.55
4484.07,2387.74,2.54
4453.16,2364.10,2.54
4435.62,2333.98,2.54
4395.15,2328.99,2.53
4377.98,2328.99,2.53
